ano,id_municipio_6,nome_municipio,grupo_renda,tae_creche_capped,tel_creche_capped,tae_pre_capped,tel_pre_capped,Total_mulheres,log_emp_mulher,Total_emp,Total_mulheres_negras,rem_med_mulheres_negras,pib_per_capita
2011,230625,Itaitinga,Maior Dinamismo Econômico,30.39598438371445,13.831567205800336,100.0,100.0,1356,7.213031659834869,3750,400,1192.932158,6672.585618323973
2012,230625,Itaitinga,Maior Dinamismo Econômico,42.43132670952659,17.708942139099943,100.0,83.77016129032258,1453,7.282073658093465,3761,525,1223.632849523809,7593.74151138154
2013,230625,Itaitinga,Maior Dinamismo Econômico,43.29303396660909,16.119746689694875,100.0,88.46549948506694,1745,7.465082736399547,4434,565,1306.444442477876,9338.416655615965
2014,230625,Itaitinga,Maior Dinamismo Econômico,40.13194062671798,23.4194612424409,100.0,100.0,1286,7.160069207596127,3758,705,1663.641029787234,11433.53177204899
2015,230625,Itaitinga,Maior Dinamismo Econômico,36.95876288659794,23.91752577319588,100.0,100.0,1348,7.207118856207756,3970,720,1560.023723611111,14937.130254281266
2016,230625,Itaitinga,Maior Dinamismo Econômico,35.3903693314633,17.251051893408135,100.0,100.0,1453,7.282073658093465,3770,676,1436.157315088758,14646.520946240978
2017,230625,Itaitinga,Maior Dinamismo Econômico,36.23893805309735,14.203539823008848,100.0,96.50273224043715,1627,7.395107546562485,4458,694,1648.931317002882,16882.472653268887
2018,230625,Itaitinga,Maior Dinamismo Econômico,38.22471011595362,18.912435025989605,100.0,89.62962962962962,1557,7.351158226430694,4548,757,1666.793552179657,17730.04706715927
2019,230625,Itaitinga,Maior Dinamismo Econômico,39.93855606758833,19.50844854070661,100.0,86.53658536585365,1787,7.488852955733459,5631,877,1598.358437856328,19036.308583464983
2007,230620,Itaiçaba,Menor Dinamismo Econômico,25.428571428571427,14.857142857142858,100.0,85.88235294117646,216,5.37989735354046,418,23,1122.967665217391,3124.765478424015
2008,230620,Itaiçaba,Menor Dinamismo Econômico,23.853211009174316,11.009174311926609,100.0,93.85474860335196,211,5.356586274672012,420,20,860.7777600000001,3126.005361930295
2009,230620,Itaiçaba,Menor Dinamismo Econômico,13.8801261829653,7.570977917981073,100.0,89.17525773195877,241,5.488937726156687,485,24,998.1436666666668,3313.0106851037085
2010,230620,Itaiçaba,Menor Dinamismo Econômico,14.16184971098266,5.491329479768786,100.0,83.61581920903954,248,5.517452896464707,489,45,808.6546133333333,4247.539639147075
2011,230620,Itaiçaba,Menor Dinamismo Econômico,10.16949152542373,7.344632768361582,100.0,95.51282051282053,261,5.568344503761097,528,9,1125.574866666667,4621.32103621321
2012,230620,Itaiçaba,Menor Dinamismo Econômico,14.647887323943662,3.943661971830986,100.0,86.0,221,5.402677381872279,474,6,2102.8654,5105.008077544427
2013,230620,Itaiçaba,Menor Dinamismo Econômico,26.744186046511626,10.755813953488373,100.0,64.59627329192547,265,5.583496308781699,532,15,1378.856266666666,5772.565085238536
2014,230620,Itaiçaba,Menor Dinamismo Econômico,31.64179104477612,15.522388059701491,99.48979591836736,64.28571428571429,257,5.552959584921617,537,19,1323.409073684211,6683.263268523384
2015,230620,Itaiçaba,Menor Dinamismo Econômico,40.51724137931034,11.781609195402298,71.50259067357513,53.36787564766839,270,5.602118820879701,573,30,1322.6374,7513.322884012539
2016,230620,Itaiçaba,Menor Dinamismo Econômico,21.680216802168022,4.336043360433604,100.0,69.18238993710692,217,5.384495062789089,464,20,1312.7235,7430.631332813718
2017,230620,Itaiçaba,Menor Dinamismo Econômico,35.69553805774278,19.42257217847769,100.0,68.21192052980133,306,5.726847747587197,594,57,1420.186547368421,9001.550788317394
2018,230620,Itaiçaba,Menor Dinamismo Econômico,45.55256064690027,21.024258760107816,98.86363636363636,63.63636363636363,246,5.5093883366279774,527,38,1448.213605263158,8465.776293823039
2019,230620,Itaiçaba,Menor Dinamismo Econômico,41.68937329700272,20.708446866485016,100.0,74.11167512690355,329,5.799092654460526,632,77,1320.131038961039,8887.568672543759
2007,230630,Itapajé,Maior Dinamismo Econômico,22.228427813459927,10.164758447361072,91.1620294599018,61.97490452809602,2322,7.750614732770409,4486,358,905.883644413408,5050.323603222824
2008,230630,Itapajé,Maior Dinamismo Econômico,19.035604149144937,8.718811326044294,87.91946308724832,62.91946308724832,2385,7.777373602657861,4681,420,855.8410838095239,6952.754900082999
2009,230630,Itapajé,Maior Dinamismo Econômico,26.023657870791627,11.555959963603277,88.41295991213619,62.49313563975838,2522,7.833203948641057,4903,448,968.1686142857144,7005.025974574482
2010,230630,Itapajé,Maior Dinamismo Econômico,26.57320872274143,11.495327102803738,91.2117903930131,65.22925764192141,2019,7.61085279039525,4380,457,995.3248849015316,12301.778697001035
2011,230630,Itapajé,Maior Dinamismo Econômico,21.901091843288377,8.477842003853564,92.10227272727272,60.28409090909091,2374,7.772752716468742,5013,456,1074.719708991228,14622.283108757438
2012,230630,Itapajé,Maior Dinamismo Econômico,23.32892124420913,10.357379219060226,92.73775216138328,61.90201729106628,1945,7.57353126274595,4362,404,1154.804325742574,7811.093018522288
2013,230630,Itapajé,Maior Dinamismo Econômico,24.599280340202814,9.977101733725876,95.2504879635654,62.784645413142485,2313,7.746732907753622,4791,478,1076.308635983263,8970.76337854255
2014,230630,Itapajé,Maior Dinamismo Econômico,27.107438016528924,11.43801652892562,94.44067796610167,60.61016949152543,2298,7.740229524763182,4868,509,1111.368320628684,10300.921631702551
2015,230630,Itapajé,Maior Dinamismo Econômico,26.169154228855724,11.608623548922056,88.52251109701966,57.89473684210527,2107,7.653494909661253,4513,491,1064.972880244399,9735.683681255257
2016,230630,Itapajé,Maior Dinamismo Econômico,31.22448979591837,14.45578231292517,99.5475113122172,65.02908855850032,2074,7.637716432664798,4486,456,1128.355997807018,10215.93775466646
2017,230630,Itapajé,Maior Dinamismo Econômico,29.942548158161543,13.957418046637375,100.0,66.55405405405406,2097,7.6487397889562425,4593,473,1140.735615221987,10588.449321397633
2018,230630,Itapajé,Maior Dinamismo Econômico,31.47190623922785,13.13340227507756,96.0081190798376,59.87821380243573,2158,7.677400430514807,4623,478,1147.207286610879,10765.31393568147
2019,230630,Itapajé,Maior Dinamismo Econômico,29.44197192742212,12.153372132831224,95.17915309446256,61.69381107491857,2105,7.652545692693921,4631,536,1156.910951492537,12150.811580446132
2007,230640,Itapipoca,Maior Dinamismo Econômico,24.695573005576417,15.796062364857177,90.14756944444444,70.3125,4576,8.428799040653642,8543,1426,887.5808061009818,4502.157884434336
2008,230640,Itapipoca,Maior Dinamismo Econômico,24.54136379370024,16.037844698280836,93.7279151943463,70.84805653710248,3903,8.269756947532983,7698,1494,890.8542891566266,4974.5433242797035
